Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
M,-0.04,0.08,-0.16,18.62,-54.75,2.50
M,-0.02,0.16,-0.22,11.47,-118.65,15.20
M,0.13,0.09,0.06,10.50,-181.03,9.70
M,0.14,-0.04,0.80,-0.55,-216.31,24.54
M,0.15,0.49,1.07,-13.31,-161.93,44.56
M,0.20,0.27,1.25,-25.51,-148.62,6.29
M,0.23,-0.08,1.75,-36.80,-121.77,5.55
M,0.22,0.25,1.68,-34.79,-80.75,24.11
M,0.16,0.18,1.63,-31.07,-52.31,7.87
M,0.17,0.09,1.66,-13.00,-41.87,3.48
M,0.25,0.28,1.85,-15.99,-24.90,11.35
M,0.24,0.61,1.93,-7.14,22.95,-13.43
M,0.20,0.38,1.78,-3.72,80.99,-53.16
M,0.14,0.28,1.52,-3.36,114.07,-61.46
M,0.11,0.35,1.33,-0.43,124.21,-55.91
M,0.15,0.28,1.26,2.14,134.28,-66.59
M,0.18,0.01,0.82,3.23,158.39,-72.75
M,0.03,0.04,0.44,-3.72,127.81,-45.84
M,0.02,0.09,0.37,-4.82,101.99,-45.96
M,-0.01,-0.08,0.24,-3.30,73.49,-49.07
M,0.02,0.09,0.14,-5.31,48.58,-27.47
M,0.01,0.06,-0.04,1.40,34.42,-27.65
M,-0.01,0.10,-0.13,-2.01,-24.54,-19.04
M,0.05,-0.06,-0.27,7.32,-46.88,-27.59
M,0.22,-0.47,-0.34,24.17,-145.57,12.08
M,0.20,-0.23,0.17,20.75,-222.05,80.93
M,0.24,0.22,0.39,-1.59,-245.00,115.97
M,0.73,0.73,1.46,-1.71,-291.93,64.88
M,0.72,0.16,2.53,-8.42,-216.19,-22.28
M,0.68,0.18,2.33,-41.02,-101.56,-6.65
M,0.64,0.11,2.08,-45.84,-25.21,-35.58
M,0.45,-0.22,1.81,-8.85,21.91,-58.84
M,0.26,-0.22,1.51,-9.58,41.50,-31.92
M,0.28,0.01,1.47,-9.95,37.72,6.47
M,0.31,0.18,1.42,1.53,56.58,5.43
M,0.39,0.02,1.21,11.11,90.09,-32.04
M,0.19,-0.28,0.93,8.00,97.72,-22.40
M,0.10,-0.05,0.99,0.43,86.30,11.60
M,-0.10,0.02,1.02,27.83,77.33,23.80
M,-0.17,0.05,1.22,39.73,76.72,30.09
M,-0.22,-0.08,1.22,21.55,133.24,49.26
M,-0.29,0.64,0.84,-7.93,121.64,85.33
M,-0.18,0.65,1.18,-1.95,88.26,27.71
M,-0.33,0.17,0.86,-0.37,89.90,-3.91
M,-0.15,0.36,1.27,-9.89,62.62,22.28
M,-0.07,0.35,0.90,-5.80,76.17,10.31
M,-0.13,0.37,1.06,-20.39,60.18,-10.38
M,-0.18,0.07,0.71,-23.74,79.16,-32.53
M,-0.26,0.07,0.65,-21.73,66.04,-16.60
M,-0.22,0.13,0.58,-30.46,67.69,-24.48
M,-0.24,-0.00,0.56,-18.07,56.95,-27.65
M,-0.27,-0.06,0.49,1.83,39.43,-5.13
M,-0.24,0.00,0.53,10.68,14.16,6.71
M,-0.24,0.01,0.56,3.66,6.23,14.34
M,-0.23,0.16,0.49,11.17,2.01,11.90
M,-0.22,0.12,0.26,13.61,-9.46,7.08
M,-0.20,0.06,0.19,9.77,-41.81,4.70
M,-0.11,-0.07,0.06,9.28,-75.38,14.89
M,0.01,0.01,0.12,-1.34,-106.02,31.56
M,0.12,-0.04,0.15,-0.73,-141.78,28.08
M,0.14,-0.12,0.39,8.36,-169.98,44.62
M,0.22,0.00,0.70,1.46,-199.77,63.05
M,0.27,0.25,1.33,-1.34,-216.80,79.47
M,0.29,0.38,1.82,0.85,-187.50,46.45
M,0.34,0.17,1.67,-11.78,-136.72,44.68
M,0.33,0.29,1.76,-25.76,-107.36,43.70
M,0.33,-0.07,1.71,-16.17,-100.10,30.46
M,0.30,0.25,1.67,-9.89,-64.33,48.71
M,0.28,0.35,1.63,-6.96,-40.10,22.64
M,0.28,0.22,1.72,-7.32,-20.39,2.26
M,0.31,0.23,1.81,18.55,31.37,-11.05
M,0.27,0.22,1.39,28.99,71.90,-19.53
M,0.21,0.19,1.56,43.46,89.29,-34.55
M,0.19,0.18,1.49,43.21,124.45,-43.40
M,0.19,0.13,1.38,33.26,161.68,-48.83
M,0.11,0.11,0.58,30.88,193.85,-49.62
M,-0.02,0.11,0.68,29.24,112.30,-43.15
M,-0.03,0.11,0.79,23.80,101.50,-37.11
M,0.00,0.06,0.54,7.93,104.00,-27.65
M,-0.02,0.08,0.48,7.02,78.19,-14.34
M,-0.02,0.19,0.25,21.12,52.43,-15.87
M,-0.01,0.09,0.57,6.90,9.52,-23.01
M,0.02,-0.01,0.28,1.59,11.84,-14.34
M,0.04,0.10,-0.02,13.61,-37.29,2.01
M,0.05,0.18,0.10,32.84,-106.87,-11.35
M,0.02,-0.06,0.28,19.78,-133.12,-7.39
M,0.08,-0.11,0.31,3.23,-155.15,39.61
M,0.10,0.23,0.84,5.62,-175.23,55.48
M,0.09,0.42,1.03,-9.28,-138.92,30.40
M,0.18,0.05,1.41,-19.96,-141.48,12.08
M,0.23,0.07,1.57,-16.42,-116.52,24.05
