Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
C,-0.22,-0.35,1.05,1.59,32.10,93.44
C,-0.17,-0.34,0.72,2.01,42.91,116.64
C,-0.27,0.16,0.89,-14.77,9.58,155.94
C,-0.34,0.35,0.82,-5.86,15.14,117.00
C,-0.31,-0.02,0.76,7.63,23.50,97.53
C,-0.27,0.04,0.62,25.27,18.01,136.23
C,-0.30,0.48,0.44,-2.26,1.89,118.47
C,-0.29,0.40,0.62,-5.37,-18.80,95.28
C,-0.24,0.07,0.50,3.85,-11.54,78.92
C,-0.26,0.04,0.51,3.48,-28.75,99.24
C,-0.21,0.50,0.49,-4.76,-46.63,116.09
C,-0.21,0.49,0.76,-12.94,-67.99,83.68
C,-0.21,0.40,0.74,-12.45,-57.74,70.31
C,-0.18,0.53,0.74,-5.98,-62.38,64.39
C,-0.14,0.48,0.72,-18.13,-70.62,50.90
C,-0.13,0.45,0.86,-21.55,-75.56,43.88
C,-0.03,0.68,0.62,-16.97,-61.89,38.39
C,-0.04,0.81,0.68,-21.42,-78.55,28.14
C,-0.16,0.83,0.87,-39.55,-90.76,4.03
C,-0.05,1.13,1.00,-36.13,-76.11,-28.99
C,-0.03,1.15,0.76,-57.74,-68.60,-58.23
C,-0.15,0.87,0.99,-95.34,-98.94,-115.54
C,0.15,-0.16,1.34,-139.71,-89.36,-183.90
C,0.34,-0.90,1.41,-163.21,-65.12,-182.92
C,0.34,-1.50,1.31,-81.54,-32.23,-136.66
C,0.24,-1.30,1.28,-16.30,-11.60,-45.96
C,0.20,-0.71,1.26,-8.42,-2.08,6.41
C,0.07,-0.20,1.00,-0.73,8.54,16.72
C,-0.00,-0.08,0.94,9.89,9.03,15.93
C,-0.00,0.02,0.87,10.99,6.41,10.99
C,0.03,0.10,0.94,0.43,-4.70,9.09
C,0.06,0.07,0.98,-7.51,-7.51,0.18
C,0.09,-0.02,0.99,-6.04,-3.23,-7.14
C,0.11,-0.08,0.93,-6.10,0.24,-7.57
C,0.10,-0.02,0.99,-10.38,-7.57,-0.12
C,0.08,-0.01,0.90,-10.44,-4.33,-9.34
C,0.08,-0.12,1.04,-6.96,-9.70,-16.91
C,0.10,-0.12,1.06,0.67,-4.46,-9.83
C,0.08,-0.05,1.05,-0.92,2.50,-6.41
C,0.09,-0.03,1.12,0.31,6.16,-11.05
C,0.09,-0.03,1.29,0.92,22.09,-37.11
C,0.06,-0.11,1.31,6.96,39.61,-46.63
C,0.01,-0.04,1.44,10.74,69.03,-48.95
C,-0.03,-0.05,1.21,4.27,104.06,-53.83
C,-0.18,-0.09,1.12,2.87,93.44,-51.70
C,-0.19,-0.17,0.94,10.86,91.80,-43.46
C,-0.22,-0.26,1.01,11.05,78.12,-10.93
C,-0.29,0.18,0.57,16.48,77.33,-0.61
C,-0.36,0.25,0.59,-2.26,52.06,-35.28
C,-0.31,-0.09,0.64,-3.91,34.91,-67.50
C,-0.30,-0.11,0.67,-14.71,18.62,-55.79
C,-0.30,-0.23,0.89,-29.54,8.85,-57.01
C,-0.27,-0.32,0.92,-18.49,8.85,-50.96
C,-0.26,-0.40,1.01,-0.73,11.54,-43.52
C,-0.18,-0.42,1.09,7.93,15.99,-33.20
C,-0.19,-0.71,0.98,17.58,19.53,-9.77
C,-0.18,-0.48,0.92,16.24,19.47,37.23
