Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
A,0.2,-0.14,1.4,13.12,-2.08,9.52
A,0.2,-0.04,1.15,14.1,25.27,9.58
A,0.13,-0.25,1.05,18.68,21.91,13.43
A,0.16,-0.3,1.37,20.26,22.28,27.77
A,0.17,-0.33,1.52,11.6,49.44,39.86
A,0.11,-0.34,0.89,9.46,96.31,62.26
A,0.04,-0.38,0.89,14.65,67.14,93.69
A,0.04,-0.44,0.94,27.65,55.54,111.94
A,0.04,0.12,1.06,21.79,35.4,155.15
A,0,0.58,1.03,13.37,42.66,138.24
A,-0.08,0.54,0.84,26.98,22.77,76.54
A,-0.05,0.28,0.71,-7.14,25.63,43.15
A,-0.02,0.48,0.68,-20.63,4.64,53.16
A,0.05,0.67,1.02,-24.11,-8.85,8.67
A,0.12,0.39,0.85,-11.84,10.13,-13.37
A,0.08,0.47,0.66,-14.53,4.76,-14.04
A,0.11,0.56,0.84,-16.6,-32.65,-53.83
A,0.05,0.42,0.67,-25.09,-28.63,-57.31
A,0.06,0.52,0.84,-27.1,-56.34,-81.79
A,0.09,0.58,0.81,-39.79,-56.64,-97.78
A,0.06,0.39,0.96,-36.93,-54.44,-118.47
A,0.11,0.11,0.87,-57.31,-45.65,-125
A,0.21,-0.13,0.81,-59.94,-42.85,-119.32
A,0.29,-0.23,1.06,-55.73,-55.91,-112.12
A,0.41,-0.81,1.03,-38.15,-24.11,-114.5
A,0.46,-1.06,0.98,-30.09,-22.77,-79.9
A,0.41,-0.79,1.11,-16.97,-17.52,-17.58
A,0.31,-0.72,1.12,6.23,-2.69,-8.06
A,0.27,-0.59,1.03,11.11,13.12,16.3
A,0.19,-0.37,0.9,18.31,25.63,35.83
A,0.17,-0.34,1.01,26.92,23.13,32.41
A,0.2,-0.39,1.06,34.06,31.62,38.39
A,0.17,-0.29,0.89,17.58,28.2,60.18
A,0.16,-0.24,1.14,10.68,19.47,70.98
A,0.16,-0.31,0.91,14.16,61.4,77.82
A,0.17,-0.5,0.5,-2.26,48.34,100.65
A,0.1,-0.41,0.53,-12.63,10.93,144.53
A,-0.01,0.53,0.29,4.03,-39.12,164.49
A,-0.1,0.12,0.63,3.97,-82.03,79.9
A,-0.1,0.24,0.4,0.12,-100.4,89.36
A,-0.03,0.44,0.78,-25.09,-152.22,74.89
A,0.09,0.67,1.06,-56.34,-176.88,51.82
A,0.34,0.25,2,-33.81,-135.19,-34.06
A,0.42,-0.23,1.7,0,-35.22,-46.81
A,0.46,-0.13,1.78,10.74,-12.88,-37.72
A,0.44,0.03,1.8,19.59,18.25,-42.6
A,0.43,0.06,1.74,-5.19,52.55,-51.7
A,0.45,-0.01,1.5,-7.14,84.59,-59.88
A,0.43,-0.04,1.46,0.98,121.15,-63.35
A,0.4,-0.07,1.14,7.45,151.49,-66.96
A,0.32,-0.11,0.77,2.38,147.4,-64.27
A,0.2,-0.11,0.93,30.64,123.11,-56.88
A,0.12,-0.01,0.69,24.29,139.04,-52.98
A,0.04,-0.05,0.52,39,108.7,-60.55
A,0.05,-0.06,0.73,46.75,86.91,-66.22
A,0.03,-0.1,0.81,40.83,91.13,-61.52
A,-0.03,-0.21,0.28,28.81,90.88,-52.73
A,-0.11,-0.25,0.32,16.17,32.23,-21.73
A,-0.15,-0.12,0.29,18.01,14.34,-2.38
A,-0.15,0.08,0.44,14.04,-18.31,-2.81
A,-0.12,-0.13,0.4,17.64,-15.62,-14.04
A,-0.13,-0.11,0.41,14.59,-33.51,4.52
A,-0.15,0.01,0.48,13.37,-58.53,22.58
A,-0.13,0.28,0.62,7.63,-77.94,26.73
A,-0.07,0.08,0.69,9.03,-87.71,0.98
A,-0.04,-0.01,0.5,-1.34,-103.03,8.3
A,0.04,0.23,0.42,-11.23,-131.84,18.19
A,0.15,0.08,0.77,-22.34,-187.5,-12.39
A,0.22,-0.03,0.75,-45.04,-187.01,-10.8
A,0.37,-0.01,0.97,-41.08,-220.7,-5.19
A,0.51,0.08,1.65,-37.84,-214.48,-13.55
A,0.6,0.05,2.06,-5.13,-155.94,-36.74
A,0.67,-0.46,1.6,2.44,-60.24,-63.23
A,0.6,-0.34,1.84,1.22,-42.91,-23.86
A,0.54,-0.32,1.84,12.94,-4.39,-21.97
A,0.49,-0.43,1.6,23.19,51.33,-21
A,0.44,-0.43,1.4,21.73,71.72,-3.3
A,0.37,-0.39,1.32,26.31,75.62,15.44
A,0.35,-0.33,0.95,43.33,101.75,39.25
A,0.32,-0.19,0.93,52.49,85.63,43.52
A,0.27,-0.24,0.99,45.96,90.39,45.23
A,0.24,-0.15,0.86,24.41,82.58,50.23
A,0.22,-0.24,0.89,18.37,76.29,58.72
A,0.18,-0.19,0.76,38.57,82.64,81.91
A,0.16,-0.1,0.69,55.3,74.77,97.35
A,0.12,0.18,0.8,32.29,45.59,105.77
A,0.09,0.27,0.8,21.3,45.59,99.37
A,0.06,0.46,0.64,21,47.06,96.5
A,0.07,0.55,0.8,13.85,5.98,66.28
A,0.1,0.46,0.85,5.68,12.63,43.4
A,0.1,0.66,0.87,7.26,12.08,36.32
A,0.09,0.74,0.77,1.1,10.44,-5.37
A,0.07,0.65,0.61,2.62,-1.22,-23.99
A,-0.01,0.91,0.6,8,-12.21,-41.81
A,0,1.07,0.79,15.08,-53.96,-90.33
A,0.02,1.05,0.52,-32.96,-58.96,-119.87
A,0.16,0.31,0.92,-31.07,-102.84,-179.08
A,0.23,-0.35,1.04,-34.55,-25.88,-150.15
A,0.3,-0.2,0.48,-42.36,-21.67,-113.53
A,0.36,-0.7,1.47,-25.02,-61.46,-105.16
A,0.39,-0.69,0.92,-18.31,4.15,-66.41
A,0.34,-0.92,1.18,7.51,-16.24,-47.61
A,0.25,-0.37,1.18,7.26,-14.71,15.87
A,0.19,-0.26,1.32,7.75,-8.61,19.41
A,0.11,-0.18,1.08,1.28,26.73,26.55
A,0.09,-0.1,0.98,14.4,21.42,25.27
A,0.09,-0.16,1.03,14.22,25.51,31.19
A,0.16,-0.07,1.18,19.17,32.41,36.44
A,0.17,-0.22,1.2,15.01,51.82,41.69
A,0.19,-0.22,0.67,-2.2,88.07,71.23
A,0.02,-0.39,0.65,0.43,34.67,104.49
A,-0.07,0.08,0.45,-13.43,23.38,159.85
A,-0.16,0.77,0.24,-7.51,-29.48,150.94
A,-0.02,0.56,0.93,2.81,-117.61,57.31
A,0.05,-0.12,0.94,-34.91,-96.74,39
A,0.14,0.29,0.64,-63.23,-117.25,88.68
A,0.3,0.46,0.92,-57.07,-169.68,58.65
A,0.35,0.12,1.62,-44.68,-166.38,24.84
A,0.41,0.02,0.97,-57.01,-83.8,11.47
A,0.45,0.06,1.31,-47.61,-109.19,11.96
A,0.48,0.13,1.61,-14.89,-61.22,-6.1
A,0.49,0.27,1.81,42.6,-2.32,-39.43
A,0.49,-0.04,1.37,30.94,54.69,-63.84
A,0.46,0.1,1.51,7.2,17.88,-44.56
A,0.46,0.2,1.57,8.06,62.07,-55.11
A,0.46,0.15,1.58,24.72,100.22,-70.62
A,0.39,0.06,1.06,17.15,150.57,-86.06
A,0.32,-0.02,0.88,13.67,138.43,-84.35
A,0.26,0.09,1.22,48.34,138.06,-79.53
A,0.18,-0.24,0.6,45.78,174.13,-97.84
A,0.1,-0.25,0.45,30.88,129.03,-65
A,-0.04,0.07,0.74,54.57,81.73,-33.69
A,-0.02,0.08,0.61,31.49,86.61,-47.67
A,-0.02,-0.07,0.61,10.5,54.2,-44.25
